time,200,500,302 
0,8.2,,6.9 
10,9.8,,10.6 
20,9.8,,9.9 
30,19.9,,15.3 
40,24.2,,13.2 
50,24.2,,13.8 
60,35.4,,19.4 
70,36,,19.1 
80,36.6,,22.8 
90,46.7,,27.7 
100,54.5,,32.7 
110,49.1,,33.6 
120,54.2,,37.2 
130,71.1,,37.5 
140,66.1,,40.8 
150,75.8,,45.7 
160,73.2,,42.3 
170,79.3,,47.7 
180,79.4,,48.2 
190,86.2,,53.2 
200,95.1,0.8,54 
210,91.9,0.3,58.4 
220,99.8,0.5,57.5 
230,95.9,1,57.5 
240,103.1,0.8,63 
250,110.1,1,68.9 
260,116.4,1.7,66.5 
270,111.5,10.3,71.9 
280,110.3,8.9,72.1 
290,99.6,40.4,70.6 
300,103.2,28.8,68 
310,94.2,63.3,68.9 
320,102.4,44.8,69.6 
330,87.7,10.3,33.1 
340,73.7,7.9,27.9 
350,73.4,7.3,25.5 
360,47.3,7,25.2 
370,21,3.6,30 
380,23.2,9.1,24.6 
390,23.4,4.6,32.3 
400,4.1,0.5,28 
407,0,0,4.6 
