time,502,200,500,302 
90,21.7,29.8,0.2,20.1 
100,40.4,29.5,1.4,17.4 
110,34,27.2,0.8,20.7 
120,32.5,28.6,1,21 
130,50.5,27.4,4.6,21.8 
140,51.8,25.7,4.4,23.1 
150,45.3,27,4,21 
160,67.4,27.1,6.3,19.6 
170,72.9,24.9,7,21.3 
180,77.6,24.2,6.9,24.3 
190,79.9,25.8,6,23.1 
200,78.5,24.2,8.5,22.9 
210,103.2,19.7,7.3,26.3 
220,101.8,20.5,8.5,23.1 
230,107.6,20.9,8.3,24.6 
240,113.8,21.2,11.2,20.9 
250,129,19.7,9.8,21.5 
260,135.2,20,10.7,23.1 
270,137,16.9,9.9,22.5 
280,133.3,19.4,10.3,21.8 
290,145.6,19.2,11.8,23.1 
300,165.1,18.5,12.5,20.9 
310,167.4,19,10.6,23.6 
320,170.6,16.9,12.1,24.5 
330,84.1,21.8,12.8,15.9 
340,53.8,22.3,18.2,12.7 
350,55.3,22.7,17.9,11 
360,24.3,22.7,16.3,17.4 
370,0,11.8,28.2,27.1 
380,0,7.1,22.4,35.6 
390,0,7,23.8,29.5 
400,0,5.1,6,30.8 
410,0,0.5,0,11.1 
412,0,0,0,0.5 
