time,users_count,finish_users_count 
0,10.6,0 
10,9.3,0 
20,10.3,0 
30,12.2,1.3 
40,16.5,5.4 
50,15.4,4.6 
60,21.7,6.1 
70,18,7.2 
80,18.8,14.3 
90,26.1,13.5 
100,21.1,13 
110,27.1,16.4 
120,29.3,17.7 
130,29.7,22.9 
140,30.8,20.8 
150,34.6,22.9 
160,32.2,27.2 
170,35.1,27.1 
180,40.8,26.3 
190,39.5,30.6 
200,38.3,31.7 
210,43,31.3 
220,43.1,35.5 
230,44.2,33.3 
240,48.5,38.6 
250,53.2,37.8 
260,47.9,44.6 
270,51.8,45.4 
280,55.5,41.6 
290,55.1,39.5 
300,54.7,48.2 
310,56.9,40.2 
320,58.8,47.6 
330,2.3,61 
340,0,63.8 
350,0,51.7 
360,0,47.4 
370,0,24.9 
380,0,25 
390,0,22 
